customer_id,current_limit,recommended_limit,limit_increase,credit_state,default_risk,profitability_score,expected_revenue,expected_loss
1001,1360,50000.0,48640.0,Good,0.012755805253982545,62.75927400588989,69.37469482421875,6.615420818328857
1002,4272,4272.0,0.0,Good,0.012663066387176514,133.34137535095215,143.15977478027344,9.818399429321289
1003,3592,3592.0,0.0,Fair,0.10267862677574159,175.160888671875,225.27597045898438,50.115081787109375
1004,966,966.0,0.0,Good,0.012600231170654298,30.498844146728516,33.2923698425293,2.7935256958007812
1005,4926,4926.0,0.0,Good,0.012639588117599488,146.86539459228516,159.2307891845703,12.365394592285156
1006,3944,3944.0,0.0,Fair,0.10338098764419557,185.5921859741211,235.9349365234375,50.342750549316406
1007,3671,3671.0,0.0,Good,0.012668737769126893,118.44517707824707,127.05255889892578,8.607381820678711
1008,3419,3419.0,0.0,Excellent,0.005003318190574646,61.030285120010376,64.04285430908203,3.0125691890716553
1009,630,630.0,0.0,Good,0.012611308693885805,19.76552712917328,21.41743278503418,1.6519056558609009
1010,2185,2185.0,0.0,Fair,0.10376377344131471,104.36560821533203,136.01258850097656,31.64698028564453
1011,1269,1269.0,0.0,Good,0.012649720907211304,38.88561296463013,42.04145050048828,3.1558375358581543
1012,2891,2891.0,0.0,Fair,0.10330874800682069,137.08045196533203,170.55673217773438,33.476280212402344
1013,2933,2933.0,0.0,Poor,0.2699401760101318,146.69834899902344,311.352294921875,164.65394592285156
1014,1684,50000.0,48316.0,Good,0.012613119184970857,65.42525815963745,70.70218658447266,5.276928424835205
1015,3885,3885.0,0.0,Good,0.012613025307655335,120.79385662078857,131.6584930419922,10.864636421203613
1016,4617,4617.0,0.0,Fair,0.10329859256744386,185.21685409545898,235.2080535888672,49.9911994934082
1017,3404,3404.0,0.0,Fair,0.1033129620552063,164.43807220458984,206.98851013183594,42.550437927246094
1018,974,974.0,0.0,Fair,0.10287061214447023,45.94690990447998,58.8274040222168,12.880494117736816
1019,1582,1582.0,0.0,Poor,0.2699621057510376,79.8446044921875,160.68836975097656,80.84376525878906
1020,3058,3058.0,0.0,Poor,0.26995923042297365,157.37503051757812,335.6148986816406,178.2398681640625
1021,2547,2547.0,0.0,Fair,0.1031491231918335,120.60887145996094,153.0511016845703,32.442230224609375
1022,3247,50000.0,46753.0,Fair,0.10347952127456667,172.1305923461914,218.50003051757812,46.36943817138672
1023,1475,1475.0,0.0,Good,0.0126758873462677,44.04975128173828,48.78770446777344,4.737953186035156
1024,2306,2306.0,0.0,Excellent,0.005013209581375122,40.90731465816498,42.13072204589844,1.2234073877334595
1025,689,689.0,0.0,Good,0.012637472152709961,21.572917342185974,23.46123504638672,1.8883177042007446
1026,3234,50000.0,46766.0,Good,0.012612618505954742,112.0269193649292,120.23101043701172,8.20409107208252
1027,3505,3505.0,0.0,Poor,0.26993987560272215,151.9223175048828,289.27984619140625,137.35752868652344
1028,2399,2399.0,0.0,Fair,0.10306788802146913,102.45476341247559,131.34869384765625,28.893930435180664
1029,1767,1767.0,0.0,Good,0.012615758180618287,54.885560750961304,58.46482467651367,3.579263925552368
1030,2028,2028.0,0.0,Poor,0.2699411416053772,97.59677124023438,198.45668029785156,100.85990905761719
1031,3702,3702.0,0.0,Poor,0.2699572563171387,173.93865966796875,318.62896728515625,144.6903076171875
1032,4056,4056.0,0.0,Fair,0.1034014403820038,189.3353042602539,235.627197265625,46.291893005371094
1033,4390,50000.0,45610.0,Good,0.01327076405286789,146.51296710968018,160.2567596435547,13.743792533874512
1034,1146,1146.0,0.0,Good,0.01253432035446167,36.28969359397888,39.73747253417969,3.4477789402008057
1035,3388,3388.0,0.0,Fair,0.10272622466087342,150.28401565551758,194.45228576660156,44.168270111083984
1036,2935,2935.0,0.0,Fair,0.10326891899108888,130.89784240722656,166.1764678955078,35.27862548828125
